covariate,exp(coef),exp(coef) lower 95%,exp(coef) upper 95%,p
mbal,1.3143030169470553,1.1081649580650355,1.5587863591827773,0.001690032155359914
M,2.0385939214872053,0.97061123034189,4.281699043664179,0.05994735004812292
PC1,0.04513131148443649,0.0029137258213109657,0.6990483666678015,0.026687480488956077
PC1bin,1.9641218625445138,0.9314116108098158,4.141858063773961,0.07617754182281691
