covariate,exp(coef),exp(coef) lower 95%,exp(coef) upper 95%,p
mbal,1.309506303522993,1.0958127633649066,1.5648720441079778,0.0030114851766297143
M,2.1592435243934998,0.9829017014335096,4.743437304905973,0.05523616003817058
PC1,0.06669713790324497,0.0036707621569123964,1.211875903239198,0.06723862400326258
PC1bin,1.8013062418380161,0.820921074028193,3.95251660547962,0.14215649491662935
