,Enterococcus,Enterobacteriaceae,Bacteroides,Streptococcus,Parabacteroides,Lactobacillus,UBA1819,Finegoldia,Alistipes,Fenollaria,Erysipelatoclostridium,Bilophila,Phascolarctobacterium,Eisenbergiella,Akkermansia,Campylobacter,Anaerococcus,Bifidobacterium,Peptoniphilus,Hungatella,Ezakiella,Dialister,[Clostridium] innocuum group,Flavonifractor,Odoribacter,Parasutterella,Barnesiella,DTU089,Ruminococcus
220S1,-6.734591659972948,-6.734591659972948,-2.522882918896196,-6.734591659972948,-0.8130405721360277,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-2.27532084023384,-6.734591659972948,-6.734591659972948,-6.734591659972948,-1.9745666862147064,-1.599873236773296,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-5.219759819400281,-6.734591659972948,-6.734591659972948,-6.734591659972948
210S1,-6.734591659972948,-6.734591659972948,-0.468401951345252,-6.734591659972948,-4.231300930305336,-6.734591659972948,-2.304438976220717,-8.671596473103193,-6.734591659972948,-6.734591659972948,-5.231178378287757,-6.734591659972948,-2.6686975483695483,-7.4478210414810775,-6.734591659972948,-5.646305397307658,-6.734591659972948,-6.734591659972948,-6.734591659972948,-5.8865852308648545,-6.734591659972948,-6.734591659972948,-5.16904659718075,-2.4605948702751133,-6.734591659972948,-2.6967695671482343,-6.734591659972948,-7.883139112738923,-6.734591659972948
210S5,-5.272969070294106,-6.734591659972948,-0.18498700699522305,-6.734591659972948,-3.688848965844296,-6.734591659972948,-5.212344448477672,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.0996476434785745,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-3.768891673517832,-6.0996476434785745,-6.734591659972948,-2.516128705022464,-6.734591659972948,-6.734591659972948,-6.734591659972948
211S1,-0.055751827158331886,-6.734591659972948,-5.37688675887121,-6.805540393830243,-6.734591659972948,-6.734591659972948,-6.158302914574375,-6.734591659972948,-4.119526081127213,-6.734591659972948,-6.734591659972948,-6.725497686156706,-6.734591659972948,-6.734591659972948,-5.889249661956088,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948
211S5,-0.8637822421602673,-8.04823299070245,-7.243860175032282,-6.370586828241817,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.145247886364172,-9.272008422324566,-6.734591659972948,-0.5996593421871442,-6.734591659972948,-6.734591659972948,-6.348846841605411,-6.734591659972948,-6.734591659972948,-9.782834046090558,-9.782834046090558,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948
212S1,-7.536598628749732,-3.811708737112763,-0.29046816300029626,-6.293405111270515,-3.2424928754483213,-6.416007433362847,-4.739317293919579,-4.180863621164335,-2.8877305874959216,-6.734591659972948,-6.734591659972948,-4.680128422529249,-6.734591659972948,-4.602741758913829,-4.094046061405663,-6.734591659972948,-6.810661625366796,-7.759742180063943,-6.312823197127616,-6.734591659972948,-6.734591659972948,-7.300209850685502,-5.508450381457447,-6.255664783287668,-3.6434187111230663,-6.734591659972948,-6.734591659972948,-6.843451448189787,-3.710859991918599
213S1,-6.734591659972948,-3.7690419915207674,-0.09472590159472773,-6.734591659972948,-4.722146696517639,-6.734591659972948,-6.734591659972948,-6.734591659972948,-4.077008735144054,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.801588238197475,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-5.030882178167253,-6.734591659972948,-4.87369659464484,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948
213S5,-6.734591659972948,-2.585836789000244,-0.6953273410350393,-6.734591659972948,-5.540959630474997,-5.998792724100477,-6.734591659972948,-6.734591659972948,-7.034884655787253,-6.734591659972948,-2.6946274339896665,-7.353338386905787,-3.8492836198039244,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-1.225378095209268,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-4.363875726365392,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948
214S1,-2.869073676539497,-4.97422357492954,-1.0294107466784028,-6.734591659972948,-4.302129803567427,-5.667370755489485,-6.734591659972948,-3.3002471413578682,-3.9933943219178136,-2.5139227359437397,-6.734591659972948,-4.933401580409285,-6.734591659972948,-6.734591659972948,-6.206367256222173,-2.326277297897035,-1.8570114038378394,-3.442747203965151,-4.32363600878839,-6.734591659972948,-5.261905647381321,-3.277080082076334,-6.734591659972948,-4.894180867256003,-3.9933943219178136,-6.734591659972948,-3.3002471413578682,-6.734591659972948,-6.734591659972948
214S5,-4.752874385321364,-4.523908401255722,-0.3243629877905644,-6.734591659972948,-1.6519275921679129,-9.113239523214066,-9.113239523214066,-6.734591659972948,-5.389268749288861,-6.734591659972948,-6.734591659972948,-6.734591659972948,-3.230713313111795,-6.734591659972948,-7.763312806265051,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948,-7.033797981534231,-7.763312806265051,-7.395588026139734,-6.734591659972948,-8.661254399471009,-6.734591659972948,-6.734591659972948
215S1,-3.0337214461538506,-2.737955255302111,-0.5591494001766143,-6.734591659972948,-4.010231038021061,-6.734591659972948,-6.734591659972948,-4.831995596403099,-2.9677634783620532,-2.774859812237562,-6.734591659972948,-5.152903316483201,-6.734591659972948,-5.026151610844057,-6.734591659972948,-5.930607885071209,-5.152903316483201,-6.734591659972948,-4.12909224089779,-6.734591659972948,-3.431102435862056,-2.4985200163897154,-6.734591659972948,-6.734591659972948,-4.892620218219534,-6.734591659972948,-6.734591659972948,-6.734591659972948,-6.734591659972948
