expression_id,microbiome_id,subject_id
JAH130_S130,JAH_130_130,subject_209
JAH131_S131,JAH_131_131,subject_210
JAH132_S132,JAH_132_132,subject_211
JAH91_S91,JAH_91_91,subject_169
JAH92_S92,JAH_92_92,subject_170
JAH93_S93,JAH_93_93,subject_171
JAH94_S94,JAH_94_94,subject_172
JAH95_S95,JAH_95_95,subject_173
JAH96_S96,JAH_96_96,subject_174
JAH97_S97,JAH_97_97,subject_175
JAH98_S98,JAH_98_98,subject_176
JAH99_S99,JAH_99_99,subject_177
PAX1_S6,PAX_1_6,subject_1
PAX3_S15,PAX_3_15,subject_3
PAX4_S18,PAX_4_18,subject_4
PAX5_S17,PAX_5_17,subject_5
SI08_S2,SI_08_2,subject_8
SI09_S12,SI_09_12,subject_9
SI11_S1,SI_11_1,subject_11
SI12_S9,SI_12_9,subject_12
SI13_S19,SI_13_19,subject_13
SI14_S14,SI_14_14,subject_14
SI16_S5,SI_16_5,subject_16
SI19_S4,SI_19_4,subject_19
SI20_S3,SI_20_3,subject_20
SI21_S8,SI_21_8,subject_21
SI22_S13,SI_22_13,subject_22
SI25_S10,SI_25_10,subject_25
SI28_S11,SI_28_11,subject_28
SI41_S16,SI_41_16,subject_41
